Código;Descrição Resumida
100002471;CURETA LUCAS Nº 85
100002457;COMPRESSOR AR USO ODONTOLOGICO
100002455;VIBRADOR GESSO
100002454;SERRA ELETRICA P/ GESSO
100002437;AUTOCLAVE AÇO INOX 60L
100002430;OTOSCOPIO C/ 05 ESPECULOS
100002426;VENTILADOR PULMONAR EMERGENCIA
100002422;LARINGOSCOPIO FIBRA OTICA ADULTO
100002421;BOMBA CIRURGICO PORTATIL
100002420;MONITOR MULTIPARAMETRICO
100002419;ELETROCARDIOGRAFO 03 CANAIS AUTOMATICO PORTATIL
100002418;MONITOR P/ OXIMETRIA
100002417;APARELHO DESFIBRILADOR CARDIACO
100002415;SUPORTE P/ SORO AÇO 06 GANCHOS RODIZIOS
100002390;CONTADOR AUTOMATICO CELULAS MANUAL
100002379;APARELHO ULTRASSOM USO ODONTOLOGICO
100002375;APARELHO ONDAS CURTAS USO CLINICO
100002374;APARELHO INFRAVERMELHO USO CLINICO
100002372;AMALGAMADOR ODONTOLOGICO
100002350;GABINETE P/ DESFIBRILADOR ESTRUTURA METÁLICA 450 X 450 X 180MM
100002342;CARRO MACA AMAGNETICA ALUMINIO
100002315;ESFIGMOMANOMETRO PEDIATRICO
100002314;ESFIGMOMANOMETRO P/ ADULTO
100002282;KIT OXIGENIO PORTATIL
100002281;MACA A VACUO
100002278;TENSIOMETRO P/ ADULTO OBESO
100002276;BRAÇADEIRA P/ COLETA SANGUE
100002270;OTOSCOPIO C/ TRANSMISSAO FIBRA OTICA
100002264;CONTRA ANGULO ALUMINIO E LATAO 360º
100002246;BICICLETA ERGOMETRICA HORIZONTAL
100002241;CILINDRO OXIGENIO USO HOSPITALAR
100002229;TENSIOMETRO DIGITAL P/ PULSO
100002161;RETINOSCOPIO OFTALMOLOGICO
100002154;NEBULIZADOR HOSPITALAR USO ADULTO INFANTIL NEONATAL 04 SAIDAS 110/220V
100002153;BOMBA VACUO 04 CONSULTORIOS 1CV 660MMHG BIVOLT 50 / 60HZ
100002097;SIMULADOR ELETRONICO P/ ANALISADOR CLINICO PORTATIL
100002095;IMPRESSORA P/ ANALISADOR CLINICO PORTATIL
100002094;ANALISADOR CLINICO
100002093;MACA TIPO ENVELOPE
100002092;MACA A VACUO INFANTIL
100002091;MACA A VACUO ADULTO
100002090;MARTELO TAYLOR
100002081;TESOURA CIRURGICA FINA/FINA RETA 15CM
100002065;ESCAVADOR EM INOX DUPLO Nº 14
100002063;CURETA PERIDONTAL Nº 17/18
100002061;BRUNIDOR INOXIDAVEL Nº 28
100002060;ALAVANCA ODONTOLOGICA CURVA APICAL ESQUERDA
100002059;ALAVANCA ODONTOLOGICA CURVA APICAL DIREITA
100002056;SONDA ODONTOLOGICA EXPLORADORA Nº 05
100002050;UNIDADE SUCTORA AUXILIAR USO ODONTOLÓGICO PONTEIRA 11 E 06MM.
100002045;CURETA PERIDONTAL Nº 13/14
100002044;CURETA PERIDONTAL Nº 11/12
100002038;TAMBOR INOX 12 X 12CM
100002027;BRUNIDOR INOXIDAVEL Nº 33
100002021;MONITOR P/ DETERMINAÇAO GLICEMIA
100002020;PERFURADOR ODONTOLOGICO
100002019;PORTA MATRIX ODONTOLOGICO INOX
100002018;SERINGA CARPULE EM INOX
100002017;SONDA NABERS INOX
100002016;SONDA MILIMETRADA DUPLA INOX
100002015;FOICE PERIODONTAL Nº 0 / 0
100002014;CARRO P/ TRANSPORTE ALIMENTOS 03 PRATELEIRAS
100002013;CARRO P/ TRANSPORTE ROUPA
100002012;CARRO P/ CURATIVOS INOX 750 X 405 X 800MM
100002009;APLICADOR ODONTOLOGICO DYCAL
100002003;RESSUSCITADOR SILICONE MANUAL NEONATAL
100002002;RESSUSCITADOR SILICONE MANUAL INFANTIL AMBU
100002001;RESSUSCITADOR SILICONE MANUAL ADULTO AMBU
100002000;ALAVANCA ODONTOLOGICA TIPO LANÇA
100001998;ALAVANCA ODONTOLOGICA RETA APICAL 302
100001996;CURETA PERIDONTAL Nº 7/8
100001995;CALCADOR AÇO INOXIDAVEL Nº 01
100001994;CAIXA PORTA GRAMPOS INOX
100001986;INJETOR CARPULE
100001983;CURETA PERIDONTAL Nº 5/6
100001982;TENSIOMETRO NEONATAL N60
100001980;ESPATULA INOX Nº 07
100001976;LIMA P/ OSSO Nº 11
100001975;CINZEL ODONTOLOGICO
100001973;DESLOCADOR PERIOSTEO Nº 09
100001972;FORCEPS INFANTIL Nº 01
100001971;FORCEPS ODONTOLOGICO Nº 21
100001970;FORCEPS ODONTOLOGICO Nº 06
100001969;FORCEPS ODONTOLOGICO Nº 203
100001968;FORCEPS ADULTO ODONTOLOGICO Nº 01
100001967;FORCEPS ODONTOLOGICO Nº 151
100001966;FORCEPS ODONTOLOGICO Nº 69
100001965;FORCEPS ODONTOLOGICO Nº 165
100001964;FORCEPS ODONTOLOGICO Nº 68
100001963;FORCEPS ODONTOLOGICO Nº 101
100001962;FORCEPS ODONTOLOGICO Nº 23
100001961;FORCEPS INFANTIL Nº 02
100001960;FORCEPS INFANTIL Nº 05
100001959;FORCEPS Nº 210
100001958;FORCEPS Nº 17
100001952;SUPORTE P/ BALANÇA METAL SENTADO OU DEITADO
100001950;ALAVANCA ODONTOLOGICA TIPO BANDEIRINHA ESQUERDA
100001948;CURETA P/ ESPECTOFOMETRO
100001944;FORCEPS INFANTIL N° 04
100001943;FORCEPS ADULTO N° 65
100001942;FORCEPS ADULTO N° 46 BICO FALCAO
100001941;FORCEPS INFANTIL N° 44
100001940;FORCEPS ADULTO N° 18 R
100001939;FORCEPS ADULTO N° 18L
100001938;FORCEPS ADULTO N° 150
100001937;FORCEPS ADULTO N° 16
100001936;ESPATULA MANIPULAÇAO N° 24
100001935;ESPATULA INSERÇAO INOX
100001934;ESCULPIDOR HOLLEMBACK
100001933;ESCULPIDOR DISCOID-CLEOID
100001932;ALVEOLOTOMO 16CM
100001931;ALAVANCA ODONTOLOGICA TIPO BANDEIRINHA DIREITA
100001913;TEMPORIZADOR ELETRO MECANICO
100001899;DETECTOR BATIMENTOS CARDIACOS FETAL
100001896;MEDIDOR PRESSAO ENDOTRAQUEAL
100001893;FORNO DE BIER P/ FINS TERAPEUTICOS
100001892;BICICLETA ERGOMETRICA
100001891;BOMBA SECREÇAO
100001890;LARINGOSCOPIO P/ EXAME MEDICO
100001889;OFTALMOSCOPIO BINOCULAR
100001885;ELETROENCEFALOGRAFO DIGITAL
100001884;COMPRESSOR PORTATIL
100001883;BOMBA INFUSAO
100001882;CARRO P/ CURATIVOS
100001881;CARRO P/ TRANSPORTE CILINDRO OXIGENIO
100001877;APARELHO P/ DOSAGEM GLICEMIA SANGUINEA
100001876;APARELHO AMALGAMADOR USO ODONTOLOGICO
100001549;LEITORA MICROBIOLOGICA CLINICA
100001489;ESTETOSCOPIO PEDIÁTRICO COM AUSCULTADOR PRECISO
100001488;ESTETOSCOPIO ADULTO COM AUSCULTADOR PRECISO
100001402;CARRO EMERGENCIA / URGENCIA
100001397;CANETA ODONTOLOGICA ALTA ROTAÇAO
100001266;AUTOCLAVE AÇO INOX 54L
100001223;APARELHO ULTRASSOM CONJUGADO USO ODONTOLOGICO
100001179;TENSIOMETRO INFANTIL
100001178;TENSIOMETRO ADULTO CLINICO
100001154;SUPORTE P/ SORO SOB RODIZIOS TIPO PEDESTAL AÇO INOX
100001106;RAIO X COLUNA MOVEL SPECTRO 70X
100001023;OXIMETRO PULSO MICROPROCESSADO
100000995;MICROMOTOR USO ODONTOLOGICO CONEXAO 2 FUROS
100000866;LANTERNA CLINICA COMPACTA PRETA
100000306;CONTADOR AUTOMATICO CELULAS SANGUINEAS
100000303;ANDADOR ORTOPEDICO AÇO CROMADO REGULAVEL
100000301;TENSOR CANAIS P/ FISIOTERAPIA
100000287;PROCESSADOR P/ RAIO X TIPO CHAPA 120 FILMES/H
100000282;CAIXA P/ TRANSPORTE GATOS
100000281;CAIXA P/ TRANSPORTE CAES
100000053;FOTOPOLIMERIZADOR LUZ 400 A 500MM
100006431;ELETROCARDIOGRAFO VETERINARIO
100006430;MESA CIRURGICA VETERINARIA
100006425;COLCHAO TERMICO VETERINARIO 50X100CM
100006424;MESA ATENDIMENTO VETERINARIO
100006422;DIGITALIZADOR CR RAIO X
100006421;RAIO-X VETERINARIO FIXO 220V
100006374;MICROSCOPIO MONOCULAR OPTICO
100006373;ULTRASSOM VETERINARIO
100006372;MACA ACESSORIA
100006371;APARELHO ANESTESIA VETERINARIA
100006370;MACA CIRURGICA VETERINARIA
100006369;MONITOR MULTIPARAMETRICO TRANSPORTE VETERINARIO
100006368;CENTRAL MONITORIZAÇAO VETERINARIO
100006367;MODULO CAPNOGRAFIA VETERINARIO
100006366;MONITOR MULTIPARAMETRICO VETERINARIO
100006365;VENTILADOR PULMONAR VETERINARIO
100006364;BOMBA INFUSAO VOLUMETRICA VETERINARIA
100006361;BOMBA INFUSAO PARENTERAL ENTERAL VETERINARIO
100006360;ESFIGMOMANOMETRO VETERINARIO
100006359;RAIO-X VETERINARIO TOTALMENTE DIGITAL
100004991;ULTRASSOM VETERINARIO
100003435;CALHA CIRURGICA USO VETERINARIO
100003364;REANIMADOR PULMONAR
100003359;COLCHAO TERMICO USO VETERINARIO
100003073;REANIMADOR MANUAL INFANTIL COMPLETO
100003072;REANIMADOR MANUAL ADULTO 1500 A 3000ML
100002902;COLCHAO TERMICO USO VETERINARIO 550 X 850MM 110V
100002897;LARINGOSCOPIO USO VETERINARIO 03 LAMINAS
100002883;APARELHO ANESTESIA INALATORIA USO VETERINARIO
100002881;CALHA CIRURGICA USO VETERINARIO 600 X 260MM
100002880;CALHA CIRURGICA USO VETERINARIO 100 X 340MM
100002879;REANIMADOR PULMONAR (AMBU) USO VETERINÁRIO 1000ML
100002878;REANIMADOR PULMONAR (AMBU) USO VETERINARIO 500ML
100002813;REANIMADOR PULMONAR NEONATAL
100002812;REANIMADOR PULMONAR PEDIATRICO
100002811;REANIMADOR PULMONAR ADULTO
100002776;REANIMADOR (AMBU) ADULTO 1200ML 70 CICLOS/MINUTOS
100002758;REANIMADOR MANUAL (AMBU) ADULTO 1200ML
100002727;REANIMADOR MANUAL NEONATAL COMPLETO
100002425;REANIMADOR ADULTO 450 A 700ML
100002424;REANIMADOR MANUAL INFANTIL
100006846;APARELHO ANESTESIA P/ MEDIA BAIXA COMPLEXIDADE
100006845;APARELHO ANESTESIA P/ CIRURGIAS ALTA COMPLEXIDADE
100006699;BERÇO AQUECIDO C/ MONITOR
100006698;INCUBADORA NEONATAL (ESTACIONARIA)
100006696;BOMBA EXTRATORA LEITE HUMANO
100006690;APARELHO RESSONANCIA MAGNETICA 33MT/M - 120 T/M.S 1.5T 16 CANAIS
100006676;AUTOCLAVE C/ BARREIRA OPERACIONAL
100006675;REPROCESSADORA ENDOSCOPIOS
100006667;CARRO ANESTESIA P/ USO SALA RESSONANCIA MAGNETICA 1.5T OU MAIOR
100006660;MESA ELETRICA
100006626;MESA CIRURGICA 2024
100006618;FOCO CIRURGICO TETO - 1 CUPULA
100006617;FOCO CIRURGICO TETO LED 160.000 LUX - 2 CUPULAS
100006566;LAVADORA ULTRASSONICA 21L
100006527;SECADORA TRAQUEIAS 300L
100006525;MONITOR TRIAGEM 220V
100006524;GLICOSIMETRO C/ FAIXA LEITURA 10 A 600 MG/DL
100006516;SISTEMA VIDEOLAPAROSCOPIA
100006515;PISTOLA P/ BIOPSIA MAMA
100006514;MESA PARTO ELETRICA
100006513;MESA CIRURGICA ELETRICA
100006511;FOCO CIRURGICO TETO 110.000 LUX
100006510;COLPOSCOPIO GINECOLOGICO C/ SISTEMA VIDEO
100006509;APARELHO ANESTESIA PACIENTES NEONATAIS PEDIATRICOS ADULTOS
100006508;BISTURI ELETRONICO MICROPROCESSADO
100006507;BALANÇA DIGITAL PEDIATRICA / NEONATAL
100006506;BALANÇA ANTROPOMETRICA 300KG
100006505;ASPIRADOR CIRURGICO PORTATIL SILENCIOSO
100006473;APARELHO ULTRASSONOGRAFIA ECO UTI PEDIATRICA
100006472;APARELHO ULTRASSONOGRAFIA ECO UTI ADULTO
100006471;APARELHO ULTRASSONOGRAFIA ECO PEDIATRICO
100006470;APARELHO ULTRASSONOGRAFIA ECO NEONATAL
100006469;INCUBADORA P/ UNIDADES TERAPIA INTENSIVA (UTI) NEONATAL/PEDIATRICA
100006468;INCUBADORA NEONATAL
100006461;APARELHO ULTRASSONOGRAFIA VERSATIL MOVEL TOTALMENTE DIGITAL
100006460;APARELHO ULTRASSONOGRAFIA P/ RADIOLOGIA (USG C/ DOPPLER)
100006459;TOMOGRAFO COMPUTADORIZADO MINIMO 64 CANAIS
100006458;APARELHO RESSONANCIA MAGNETICA 1,5 TESLA
100006450;APARELHO FOTOTERAPIA LED
100006449;FOCO CIRURGICO PORTATIL
100006448;ELETROCARDIOGRAFO DIAGNOSTICO 10 VIAS
100006447;THERMODESINFECTORA BARREIRA P/ LIMPEZA E DESINFECÇAO
100006446;AUTOCLAVE HOSPITALAR HORIZONTAL
100006445;APARELHO ANESTESIA COMPATIVEL C/ AMBIENTES RESSONANCIA MAGNETICA (MRI)
100006444;CARDIOVERSOR DESFIBRILADOR CARDIACO BIFASICO USO UTIS ADULTA, PEDIATRICA E NEONATAL
100006442;BERÇO AQUECIDO P/ TERAPIA INTENSIVA PEDIATRICA
100006441;ARCO CIRURGICO C/ FLUOROSCOPIA CONTINUA PULSADA
100006426;GLICOSIMETRO MEMORIA MINIMO 300 RESULTADOS
100006412;COMPUTADOR C/ SOFTWARE P/ ANALISE EXAMES HOLTER MAPA
100006376;BANHO MARIA 12 A 14L
100006306;CONSULTORIO COMPLETO OFTALMOLOGICO
100006304;SISTEMA ACUIDADE VISUAL C/ MESA
100006303;TOMOGRAFO COERENCIA OPTICA REVO 130 MIL A/SCANS C/ ANGIOGRAFIA
100006293;FOCO CIRURGICO MOVEL
100006292;FOCO CIRURGICO TETO 160.000 LUX
100006289;TOMOGRAFO COERENCIA OPTICA
100006288;PUPILOMETRO P/ MEDIR DISTANCIAS PUPILARES
100006270;FOCO REFLETOR PARABOLICO LUZ FRIA
100006267;SISTEMA TESTE ESFORÇO E TESTE ERGOMETRICO
100006266;BISTURI CIRURGICO MICROPROCESSADO 400W
100006249;APARELHO DERMATOSCOPIO LUZ POLARIZADA
100006248;CRIOCAUTERIO DERMATOLOGICO P/ NITROGENIO LIQUIDO
100006218;BISTURI ELETRICO ODONTOLOGICO 100W
100006196;CONSULTORIO ODONTOLOGICO PORTATIL
100006137;SISTEMA HEMODINAMICA
100006019;BOMBA IRRIGAÇAO P/ ENDOSCOPIA
100006018;CAMERA ENDOSCOPIA
100005948;BISTURI ELETRONICO
100005940;SISTEMA INFUSAO CONTINUO INSULINA (SIC) ACCU-CHEK SPIRIT
100005854;MESA TOMOGRAFO
100005675;SECADORA TRAQUEIA 516L
100005673;TERMODESINFECTORA P/ LAVAGEM E DESINFECÇAO INSTRUMENTOS CIRURGICOS E LABORATORIAIS
100005580;TOMOGRAFO MULTISLICE DE 16 CANAIS DE DETECTORES FÍSICOS
100005465;SELADORA MANUAL PEDAL P/ SELAGEM PAPEL GRAU CIRURGICA
100005419;MICROSCOPIO CIRURGICO P/ NEUROLOGIA ZEISS OPMI PENTERO
100005397;MICROSCOPIO CIRURGICO CIRURGICO P/ NEUROLOGIA
100005358;MICROSCOPIO CIRURGICO P/ CIRURGIAS NEUROLOGICAS C/ VIDEOANGIOGRAFIA
100005348;LASER FOTOCOAGULAÇAO RETINIANA
100005340;CENTRAL VACUO CLINICO - DUAS UNIDADES GERADORAS
100005339;CENTRAL AR COMPRIMIDO MEDICINAL - 02 COMPRESSORES
100005304;GLICOSIMETRO P/ MEDIÇAO NIVEIS GLICOSE SANGUINEA ELETROQUIMICO
100005270;MONITOR P/ RESSONANCIA MAGNETICA
100005269;MESA P/ RESSONANCIA MAGNETICA
100005268;APARELHO RESSONANCIA MAGNETICA
100005126;SISTEMA APOIO CABEÇA TIPO MYFIELD
100005056;SISTEMA DIGITALIZAÇAO CR MONOCASSETE P/ RAIOS-X
100005017;ESTERILIZADOR POR PLASMA PEROXIDO HIDROGENIO
100005016;APARELHO ANESTESIA CONVENCIONAL
100005015;APARELHO P/ DIAGNOSTICO/AQUISIÇAO IMAGENS INTERNAS ESTRUTURAS CORPO HUMANO
100005004;TOMOGRAFO HELICOIDAL MULLTISLICE
100004947;ASPIRADOR ULTRASONICO
100004946;SISTEMA COMPUTADORIZADO TESTE ESFORÇO
100004945;REPROCESSADORA ENDOSCOPIOS AUTOMATICA
100004901;BISTURI ELETRICO ULTRASSONICO
100004854;SISTEMA P/ VIDEO ENDOSCOPIO E COLONOSCOPIO TERAPEUTICO
100004853;SISTEMA P/ VIDEO ENDOSCOPIO E COLONOSCOPIO DIAGNOSTICO
100004852;SISTEMA P/ VIDEO ENDOSCOPIO E COLONOSCOPIO
100004838;VIDEO COLPOSCOPIO
100004835;OSMOMETRO P/ USO HMS
100004833;NASOFIBROSCOPIO ESTERILIZAVEL
100004832;HEMOGASOMETRO ANALISADOR AUTOMATICO GASES SANGUINEOS
100004829;FOCO CIRURGICO TETO 2 CUPULAS
100004827;ELETROENCEFALOGRAFO DIGITAL
100004823;APARELHO HOLTER
100004820;CAPELA FLUXO LAMINAR
100004818;BRONCOFIBROSCOPIO INFANTIL
100004814;BRONCOFIBROSCOPIO ADULTO
100004803;UNITARIZADORA DOSES MEDICAMENTOS
100004777;APARELHO ECOCARDIOGRAFO PORTATIL
100004776;LUPA AMPLIAÇAO P/ AMPLIAR VISUALIZAÇAO MATERIAIS
100004775;LAVADORA ULTRASSONICA 30L
100004774;LAVADORA ULTRASSONICA 10L
100004773;LAVADORA ULTRASSONICA 100L
100004728;GLICOSIMETRO ACCU-CHEK PERFORMA COMBO
100004707;APARELHO RESSONANCIA MAGNETICA 1.5T
100004706;OSMOSE REVERSA PORTATIL
100004705;MONITOR MULTIPARAMETRICO TRIAGEM
100004704;MONITOR MULTIPARAMETRICO AMAGNETICO
100004703;MICROSCOPIO CIRURGICO GERAL
100004702;MAQUINA HEMODIALISE
100004701;INCUBADORA P/ TESTES BIOLOGICOS
100004700;ESTAÇAO LAUDOS CR - RX CONVENCIONAL TC E RM
100004699;APARELHO ELETROCARDIOGRAFO ECG
100004698;CENTRAL MONITORIZAÇAO P/ CONEXAO MULTIPLOS MONITORES MULTIPARAMETRICOS
100004697;CARRO EMERGENCIA
100004696;CARRO ANESTESIA P/ USO SALA RESSONANCIA MAGNETICA 1.5 T
100004695;CAMARA MORTUARIA P/ CONSERVAÇAO 4 CORPOS
100004694;BALANÇA PEDIATRICA DIGITAL
100004693;BALANÇA ANTROPOMETRICA DIGITAL ADULTO 200KG
100004688;SISTEMA INDICADOR BIOLOGICO
100004686;APARELHO ULTRASSOM GERAL
100004685;TOMOGRAFO 16 CANAIS
100004684;TERMODESINFECTORA C/ BARREIRA P/ LAVAGEM E DESINFECÇAO INSTRUMENTAIS
100004683;SISTEMA DE VIDEOLAPAROSCOPIA
100004682;SERRA OSSEA
100004681;SELADORA EMBALAGENS GRAU CIRURGICO
100004680;SECADORA TRAQUEIA POR INSUFLAMENTO 300L
100004679;APARELHO RAIOS-X MOVEL DIGITAL
100004678;APARELHO RAIO-X DIGITAL
100004677;PERFURADOR OSSEO
100004676;OXIMETRO PULSO
100004675;MONITOR MULTIPARAMETRICO UTI E CC
100004674;MONITOR MULTIPARAMETRICO TRANSPORTE
100004673;MONITOR COAGULAÇAO
100004672;MESA CIRURGICA INTERMEDIARIA
100004671;MESA CIRURGICA ELETRICA COMPLETA
100004670;MARCA-PASSO CARDIACO EXTERNO
100004669;MACA NAO MAGNETICA P/ RESSONANCIA
100004668;LAVADORA ULTRASSONICA AUTOMATIZADA 50L
100004667;FOCO CIRURGICO AUXILIAR
100004666;APARELHO ULTRASSOM C/ ECO
100004665;DESFIBRILADOR CARDIOVERSOR
100004664;SISTEMA RADIOGRAFIA COMPUTADORIZADA (CR)
100004663;CARRO ANESTESIA
100004660;BRONCOSCOPIO FLEXIVEL
100004659;BISTURI ELETRICO MICROPROCESSADOR 300W
100004658;AUTOCLAVE POR PLASMA PEROXIDO HIDROGENIO
100004656;AUTOCLAVE AUTO VACUO C/ BARREIRA
100004655;ASPIRADOR CIRURGICO PORTATIL
100004654;ARCO CIRURGICO MOVEL P/ RADIOGRAFIA E FLUOROSCOPIA
100004571;ESTEIRA ERGOMETRICA P/ USO EXAMES ERGOMETRICOS E AVALIAÇAO FISICA / CARDIOLOGICA E PARA EXERCICIOS REABILITAÇAO FISICA.
100004298;ESTEIRA ELETRICA PROFISSIONAL
100003947;GLICOSIMETRO P/ MEDIÇAO NIVEIS GLICOSE SANGUINEA ELETROQUÍMICO OU COLORIMETRICO
100003916;NEFELOMETRO MONITOR PARTICULAS DIGITAL
100003685;CENTRAL VACUO CLINICO - (UMA) UNIDADE GERADORA
100003684;CENTRAL AR COMPRIMIDO MEDICINAL
100003277;SENSOR ACUSTICO E SISMICO
100003258;REFRATOR USO OFTALMOLOGICOS
100003103;FOCO GINECOLOGICO S/ EPELHO
100003102;FOCO GINECOLOGICO P/ EXAME
100003063;REFRATOR LENTES ESFERICAS + 0 A - 6,00 DIOPTRIAS
100003062;COLUNA PANTOGRAFICA OFTALMICA 03 BRAÇOS
100002868;FOCO LUMINOSO CIRURGICO C/ RODIZIOS 127/220V
100002835;FOCO LUMINOSO REFLETOR
100002781;FOCO LUMINOSO USO RADIOLOGICO P/ LEITURAS LOCALIZADAS 110V
100002721;COLPOSCOPIO BINOCULAR
100002624;FOCO LUMINOSO AUXILIAR ESMALTADO
100002269;MALETA PRIMEIROS SOCORROS
100002162;FOCO LUMINOSO TIPO CIRURGICO C/ CUPULA
100001901;CARDIOVERSOR P/ CORAÇAO
100000805;FOCO GINECOLOGICO C/ ESPELHO 110/220V
100000804;FOCO LUMINOSO TIPO CLINICO S/ ESPELHO 110/220V
100000731;ELETROCAUTERIO BISTURI ELETRONICO
100006790;APARELHO RAIO X PORTATIL USO ODONTOLOGICO
100006464;APARELHO RAIO X PANORAMICO (SAUDE BUCAL)
100006241;APARELHO RAIO X PANORAMICO DIGITAL
100005671;SUPORTE PAREDE P/ AVENTAL PLUMBIFERO/CHUMBO ODONTOLOGICO
100005065;OCULOS C/ PROTEÇAO PLUMBIFERA
100005064;LUVA PLUMBIFERA
100004052;APARELHO RAIO X P/ RADIOLOGIA GERAL 500 MA
100002856;BIOMBO PLUMBIFERO P/ PROTEÇAO TECNICO RADIOLOGISTA
100002846;CAMARA ESCURA PORTATIL P/ REVELAÇAO PELICULAS RADIOGRAFICAS PERIAPICAL
100002845;APARELHO RAIO X ODONTOLOGICO MOVEL
100002782;GUILHOTINA RADIOGRAFICA P/ CORTE FILMES
100002449;CAMARA ESCURA USO ODONTOLOGICO
100002262;PROTEÇAO P/ TIREOIDE
100001904;CHASSI P/ RAIO X USO ODONTOLOGICO
100001903;APARELHO P/ PROFILAXIA USO ODONTOLOGICO
100000640;CAMARA ESCURA USO ODONTOLÓGICO PORTATIL ACRILICO
100000474;AVENTAL BORRACHA PLUMBIFERA USO ODONTOLOGICO ADULTO
100000397;APARELHO RAIO X PERIAPICAL USO ODONTOLOGICO
100006183;SISTEMA MINIMED 780G (BOMBA DE INSULINA)
100003500;HISTEROMETRO COLLIN AÇO INOXIDAVEL 270MM
100003147;EQUIPO CART III
100006810;CAIXA P/ CIRURGIA PEDIATRICA POR VIDEO
100006809;CAIXA VIDEO LAPAROSCOPIA
100006808;CAIXA CIRURGIA GINECOLOGICA VIDEO
100006807;BANDEJA BANDEJA REVISAO COLO
100006806;BANDEJA CATETERISMO UMBILICAL
100006805;BANDEJA CATETERISMO
100006804;BANDEJA ANESTESIA
100006803;CAIXA DISSECÇAO VENOSA
100006802;CAIXA CIRURGIA RECEM-NASCIDO
100006801;CAIXA LAPAROTOMIA RN E PEDIATRICO
100006800;CAIXA LAPAROTOMIA EXPLORADORA
100006799;CAIXA HISTERECTOMIA
100006798;CAIXA CURETAGEM E AMIU
100006797;CAIXA PARTO CESARIANA - PSAC
100006796;CAIXA PARTO NATURAL- PSNV
100006706;INSTRUMENTAL CONJUNTO BASICO P/ HISTEROSCOPIA
100006705;INSTRUMENTAL CONJUNTO BASICO P/ UROLOGIA
100005899;PINÇA ANATOMICA DISSECAÇAO RETA S/ AÇO INOXIDAVEL DENTE 30CM
100005440;CAIXA AMBULATORIAL AÇO INOXIDAVEL C/ CAIXA E TAMPA PERFURADA 32X16X8CM
100005072;CAIXA CIRURGICA
100004988;APARELHO MOTOR CABO E BROCAS BUCOMAXILO
100004986;APARELHO CRANIOTOMO C/ DRILL
100004982;APARELHO CRANIOTOMO DRILL E TREPANO
100004977;INSTRUMENTAL KIT BUCOMAXILO
100004734;INSTRUMENTAL KIT P/ VIDEOLAPAROSCOPIA
100004733;INSTRUMENTAL KIT CIURGIA LAPAROSCOPICA PEDIATRICA
100004732;INSTRUMENTAL VIDEO KIT BASICO GERAL
100004731;INSTRUMENTAL KIT BASICO P/ VIDEOCIRURGIA
100004095;CAIXA AMBULATORIAL INOX 26X12X6CM C/ CAIXA E TAMPA PERFURADA
100004090;PINÇA DIETRICH 16 CM
100004089;PORTA AGULHA MAYO HEGAR C/ TRAVA E PONTA VIDEA 15CM
100004049;PINÇA MAGILL
100003893;INSTRUMENTO CIRURGICO USO HOSPITALAR
100003892;INSTRUMENTO CIRURGICO USO ODONTOLOGICO
100003860;PINÇA PORTA-GRAMPO
100003859;PINÇA PERFURADORA AINSWORTH
100003838;BISTURI KIRKLAND USO ODONTOLOGICO
100003837;PORTA AGULHA AÇO INOXIDAVEL USO ODONTOLOGICO
100003836;TESOURA RETA GOLDMAN FOX Nº 16 USO ODONTOLOGICO
100003833;AFASTADOR DE MINNESOTA AÇO INOXIDAVEL
100003794;GANCHO P/ CASTRAÇAO 20 E 25 CM
100003793;GANCHO P/ CASTRAÇAO 17 E 20 CM
100003577;PINÇA SCHUBERT INOX 26CM
100002743;BACIA AÇO INOXIDAVEL 5L
100002659;TESOURA CIRURGICA METZENBAUER RETA INOXIDAVEL 20CM
100002495;TESOURA P/ CORTAR GESSO
100002492;BACIA AÇO INOX 6300ML
100002479;PORTA MATRIZ TOFFLEMIRE
100002478;PINÇA PALMER PORTA GRAMPOS AÇO INOXIDAVEL
100002470;AFASTADOR WOLKMAN 3 DENTES ROMBOS 240MM
100002086;PINÇA FAURE P/ ARTERIA UTERINA INOXIDAVEL 22CM
100002085;PINÇA CRILLE CURVA AÇO INOXIDAVEL 15CM
100002084;PINÇA DENTE RATO AÇO INOXIDAVEL 16 CM
100002083;ESPECULO COLLIN VAGINAL P/ VIRGEM INOXIDAVEL
100002082;PINÇA DAVIS P/ SERINGA AÇO INOXIDAVEL 17CM
100002080;PINÇA COLLIN RETA AÇO INOXIDAVEL 20CM
100002079;PINÇA CLINICA AÇO INOXIDAVEL 317
100002078;PINÇA MUSEUX 25CM
100002077;PINÇA FORSTER RETA INOXIDAVEL 24CM
100002076;PINÇA COLLIN CORAÇAO AÇO INOXIDAVEL 16CM
100002075;PINÇA MOSQUITO RETA 16CM
100002074;PINÇA MOSQUITO RETA 14CM
100002073;PINÇA BOZEMANN AÇO INOXIDAVEL 26CM
100002072;PINÇA CHERON AÇO INOXIDAVEL 24CM
100002071;PINÇA COLLIN OVAL AÇO INOXIDAVEL 16CM
100002070;PORTA ALGODAO S/ MOLA SERVIDO INOX
100002069;PINÇA BACKAUS INOX 15CM
100002068;PINÇA ALLIS RETA INOXIDAVEL 15CM
100002067;PINÇA ALLIS RETA INOXIDAVEL 18CM
100002066;PORTA AGULHA MAYO HEGAR INOX 15CM
100002064;PINÇA BACKAUS INOX 10CM
